632,20210105_yee_Wish_2004.mp4_output001,annotation
631,20210105_yee_Vitara_2017.mp4_output001,annotation
630,20210105_yee_Solio_2002.mp4_output001,annotation
629,20210105_yee_S-Class_1999.mp4_output001,annotation
628,20210105_yee_RX_2003.mp4_output001,annotation
627,20210105_yee_Rav4_2013.mp4_output001,annotation
626,20210105_yee_Previa_2006.mp4_output001,annotation
625,20210105_yee_Mondeo_2015.mp4_output001,annotation
624,20210105_yee_Lancer_Fortis_2007.mp4_output001,annotation
623,20210105_yee_Kuga_2017.mp4_output001,annotation
622,20210105_yee_IS_2013.mp4_output001,annotation
621,20210105_yee_Fiesta_2014.mp4_output001,annotation
620,20210105_yee_Cx5_2018.mp4_output001,annotation
619,20210105_yee_Ct200_2011.mp4_output001,annotation
618,20210105_yee_CRV_2013.mp4_output001,annotation
617,20210105_yee_Camry_2002.mp4_output001,annotation
616,20210105_yee_Altis_2007.mp4_output001,annotation
615,20210105_yee_3-Series-Touring_2013.mp4_output001,annotation
614,20210105_su_Yairs_2018.mp4_output001,annotation
613,20210105_su_X-trail_2002.mp4_output001,annotation
612,20210105_su_XC40_2019.mp4_output001,annotation
611,20210105_su_Sienna_2014.mp4_output001,annotation
610,20210105_su_Savrin_2004.mp4_output001,annotation
609,20210105_su_Rav4_2006.mp4_output001,annotation
608,20210105_su_Mazda5_2012.mp4_output001,annotation
607,20210105_su_Mazda3_5D_2015.mp4_output001,annotation
606,20210105_su_Matrix_2003.mp4_output001,annotation
605,20210105_su_Focus_5D_2012.mp4_output001,annotation
604,20210105_su_Focus_5D_2004.mp4_output001,annotation
603,20210105_su_ES_2013.mp4_output001,annotation
602,20210105_su_Cx3_2016.mp4_output001,annotation
601,20210105_su_CRV_2007.mp4_output001,annotation
600,20210105_su_CorollaSport_2019.mp4_output001,annotation
599,20210105_su_C-Class_2014.mp4_output001,annotation
598,20210105_su_Caddy_2011.mp4_output001,annotation
597,20210105_red_X-trail_2015.mp4_output001,annotation
596,20210105_red_XC60_2008.mp4_output001,annotation
595,20210105_red_U6_2014.mp4_output001,annotation
594,20210105_red_Tiida_2006.mp4_output001,annotation
593,20210105_red_Tercel_1995.mp4_output001,annotation
592,20210105_red_Rav4_2019.mp4_output001,annotation
591,20210105_red_Qx50_2018.mp4_output001,annotation
590,20210105_red_Nx_2014.mp4_output001,annotation
589,20210105_red_Mazda3_4D_2004.mp4_output001,annotation
588,20210105_red_Impreza_5D_2017.mp4_output001,annotation
587,20210105_red_FIT_2011.mp4_output001,annotation
586,20210105_red_Escape_2006.mp4_output001,annotation
585,20210105_red_Civic_2012.mp4_output001,annotation
584,20210105_red_City_2014.mp4_output001,annotation
583,20210105_red_CHR_2017.mp4_output001,annotation
582,20210105_red_Cayenne_2010.mp4_output001,annotation
581,20210105_red_Altis_2019.mp4_output001,annotation
580,20210105_red_Altis_2014.mp4_output001,annotation
579,20210105_nan_X3_2010.mp4_output001,annotation
578,20210105_nan_Vios_2014.mp4_output001,annotation
577,20210105_nan_Tiida_2017.mp4_output001,annotation
576,20210105_nan_Swift_2011.mp4_output001,annotation
575,20210105_nan_Sienta_2017.mp4_output001,annotation
574,20210105_nan_Q3_2012.mp4_output001,annotation
573,20210105_nan_Outlander_2017.mp4_output001,annotation
572,20210105_nan_outback_2014.mp4_output001,annotation
571,20210105_nan_Mazda5_2005.mp4_output001,annotation
570,20210105_nan_Juke_2014.mp4_output001,annotation
569,20210105_nan_HRV_2017.mp4_output001,annotation
568,20210105_nan_Forester_2016.mp4_output001,annotation
567,20210105_nan_ES_2007.mp4_output001,annotation
566,20210105_nan_Corolla_1987.mp4_output001,annotation
565,20210105_nan_ColtPlus_2007.mp4_output001,annotation
564,20210105_nan_Camry_2012.mp4_output001,annotation
563,20210105_nan_Camry_2006.mp4_output001,annotation
562,20210105_nan_Altis_2010.mp4_output001,annotation
561,20210105_connie_Zinger_2016.mp4_output001,annotation
560,20210105_connie_Yairs_2015.mp4_output001,annotation
559,20210105_connie_Wish_2010.mp4_output001,annotation
558,20210105_connie_Tribute_2001.mp4_output001,annotation
557,20210105_connie_Mondeo_Metrostar_2000.mp4_output001,annotation
556,20210105_connie_Livina_2007.mp4_output001,annotation
555,20210105_connie_innova_2004.mp4_output001,annotation
554,20210105_connie_GLC_Coupe_2017.mp4_output001,annotation
553,20210105_connie_FIT_2008.mp4_output001,annotation
552,20210105_connie_Cx5_2013.mp4_output001,annotation
551,20210105_connie_CRV_2003.mp4_output001,annotation
550,20210105_connie_ColtPlus_2017.mp4_output001,annotation
549,20210105_connie_Cla_2013.mp4_output001,annotation
548,20210105_connie_Carens_2015.mp4_output001,annotation
547,20210105_connie_Altis_2006.mp4_output001,annotation
546,20210105_connie_7-Series_2009.mp4_output001,annotation
545,20210105_connie_2-Series-Tourer_2015.mp4_output001,annotation
544,connie_GLC_Coupe_2017.mp4_output001,annotation
543,connie_FIT_2008.mp4_output001,annotation
517,1209_cockroach,completed
515,1209_rat,completed
514,1209_spider,completed
512,1208_rat,completed
511,1208_spider,completed
510,1208_cockroach,completed
507,dm1204_watch,completed
506,dm1204_wallet,completed
505,dm1204_sweater,completed
504,dm1204_sneakers,completed
503,dm1204_ring,completed
502,dm1204_gloves,completed
501,dm1204_boots,completed
500,dm1204_bag,completed
499,dm1204_backpack,completed
498,ld1203_wechat,completed
497,ld1203_twitter,completed
496,ld1203_tiktok,completed
495,ld1203_facebook,completed
488,ld1203_ar,completed
487,ld1203_au,completed
486,ld1203_br,completed
485,ld1203_ca,completed
484,ld1203_cz,completed
483,ld1203_de,completed
482,ld1203_fr,completed
481,ld1203_id,completed
480,ld1203_in,completed
479,ld1203_it,completed
478,ld1203_jp,completed
477,ld1203_kr,completed
476,ld1203_mx,completed
